level,level_name,field_of_study,academic_field
bachelor,bachelor,"bachelor of arts ba honours, political science",political science
bachelor,bachelor,"bachelor of arts ba, business management",business management
bachelor,bachelor,"bachelor of arts ba, communication and media studies",media studies
bachelor,bachelor,"bachelor of arts ba, communication and media, journalism",media studies
bachelor,bachelor,"bachelor of arts ba, communications and new media",media studies
bachelor,bachelor,"bachelor of arts ba, design and visual communications, general",languages and literature
bachelor,bachelor,"bachelor of arts ba, english language",languages and literature
bachelor,bachelor,"bachelor of arts ba, english language and literature, general",languages and literature
bachelor,bachelor,"bachelor of arts ba, english language and literature letters with an emphasis in creative writing",languages and literature
bachelor,bachelor,"bachelor of arts ba, language and communication",languages and literature
bachelor,bachelor,"bachelor of arts ba, linguistics",languages and literature
bachelor,bachelor,"bachelor of arts ba, mass communication media studies",media studies
bachelor,bachelor,"bachelor of arts ba, philosophy",philosophy
bachelor,bachelor,"bachelor of arts ba, philosophy and politics",philosophy
bachelor,bachelor,"bachelor of arts ba, public relations and marketing",marketing
bachelor,bachelor,"bachelor of arts ba, sociology",sociology
bachelor,bachelor,"bachelor of arts b a honours, business and management",business management
bachelor,bachelor,"bachelor of arts b a, business and human resources management",human resources
bachelor,bachelor,"bachelor of arts b a, communication and media studies",media studies
bachelor,bachelor,"bachelor of arts b a, computer science",computer science
bachelor,bachelor,"bachelor of arts b a, double major in communication and media studies, economics",media studies
bachelor,bachelor,"bachelor of arts b a, economics",economics
bachelor,bachelor,"bachelor of arts b a, economics, sociology",sociology
bachelor,bachelor,"bachelor of arts b a, english literature british and commonwealth",english literature
bachelor,bachelor,"bachelor of arts b a, finance",finance
bachelor,bachelor,"bachelor of arts b a, law and management science",law
bachelor,bachelor,"bachelor of arts b a, marketing",marketing
bachelor,bachelor,"bachelor of arts b a, mass communication media studies",media studies
bachelor,bachelor,"bachelor of arts b a, psychology",psychology
bachelor,bachelor,"bachelor of arts ba honours, psychology",psychology
bachelor,bachelor,"bachelor of arts ba, anthropology",anthropology
bachelor,bachelor,"bachelor of arts ba, economics",economics
bachelor,bachelor,"bachelor of arts ba, sociology",sociology
bachelor,bachelor,"bachelor of arts and social sciences, political science, philosophy, english literature",english literature
bachelor,bachelor,"bachelor of arts and social sciences ba hons, psychology",psychology
bachelor,bachelor,"bachelor of arts with merit, political science",political science
bachelor,bachelor,"bachelor of arts, economics",economics
bachelor,bachelor,"bachelor of arts, political science",political science
bachelor,bachelor,"bachelor of business honours, marketing",marketing
bachelor,bachelor,"bachelor of business hons, marketing",marketing
bachelor,bachelor,"bachelor of business marketing, marketing",marketing
bachelor,bachelor,"bachelor of business administration bba, accounting, operations management",operations management
bachelor,bachelor,"bachelor of business administration bba, information management internet service and social networks",information management
bachelor,bachelor,"bachelor of business administration bba, marketing",marketing
bachelor,bachelor,"bachelor of business administration b b a magna cum laude, marketing",marketing
bachelor,bachelor,"bachelor of business administration b b a with merit, marketing",marketing
bachelor,bachelor,"bachelor of business administration b b a, business administration",business administration
bachelor,bachelor,"bachelor of business administration b b a, business administration and management, general",business administration
bachelor,bachelor,"bachelor of business administration b b a, business economics international business",business administration
bachelor,bachelor,"bachelor of business administration b b a, business operations management",business administration
bachelor,bachelor,"bachelor of business administration b b a, business, management and marketing",marketing
bachelor,bachelor,"bachelor of business administration b b a, business, management, marketing, and related support services",business
bachelor,bachelor,"bachelor of business administration b b a, marketing",marketing
bachelor,bachelor,"bachelor of business administration b b a, marketing and human resource management",human resources
bachelor,bachelor,"bachelor of business administration b b a, marketing and technopreneurship",marketing
bachelor,bachelor,"bachelor of business administration b b a, marketing major",marketing
bachelor,bachelor,"bachelor of business administration b b a, marketing marketing management, general",marketing
bachelor,bachelor,"bachelor of business administration bba first class honours, tourism and hospitality management, human resources consulting",human resources
bachelor,bachelor,"bachelor of business administration bba, accounting",accounting
bachelor,bachelor,"bachelor of business administration bba, business",business
bachelor,bachelor,"bachelor of business administration bba, human resources development",human resources
bachelor,bachelor,"bachelor of business administration bba, human resources management and services",human resources
bachelor,bachelor,"bachelor of business administration bba, marketing",marketing
bachelor,bachelor,bachelor of business administration honors,business
bachelor,bachelor,bachelor of business management,business management
bachelor,bachelor,"bachelor of business management bbm, finance",business management
bachelor,bachelor,"bachelor of business management bbm, marketing",business management
bachelor,bachelor,"bachelor of business management, business administration and management, general",business management
bachelor,bachelor,"bachelor of business management bbm, finance",finance
bachelor,bachelor,"bachelor of business management bbm, finance major",business
bachelor,bachelor,"bachelor of business management bbm, marketing and finance",business management
bachelor,bachelor,"bachelor of business management honours, marketing and corporate communications",business
bachelor,bachelor,"bachelor of business management hons, human resource, management and marketing",business management
bachelor,bachelor,"bachelor of business management, double majors in finance and corporate communications",business management
bachelor,bachelor,"bachelor of business management, investment finance and strategic management, cum laude",business management
bachelor,bachelor,"bachelor of business management, marketing",business management
bachelor,bachelor,"bachelor of business management, marketing and corporate communications",business management
bachelor,bachelor,"bachelor of business management, marketing and operations management",business management
bachelor,bachelor,"bachelor of business management, marketing corporate communication",business management
bachelor,bachelor,"bachelor of business management, organisational behaviour and human resources",human resources
